Customer ID,Customer Type,Subscription Start,Subscription End,Monthly Subscription Cost (EUR)
1,Continue,2023-03-21,2023-07-19,9.99
2,Continue,2022-04-21,2022-05-26,9.99
3,Continue,2022-12-14,2023-07-02,19.99
4,Continue,2023-07-11,2024-06-08,19.99
5,Continue,2023-10-18,2024-08-07,9.99
6,Continue,2022-07-08,2022-08-28,29.99
7,Continue,2023-01-27,2023-09-12,19.99
8,Continue,2022-12-13,2023-08-16,29.99
9,Continue,2022-12-20,2023-09-08,29.99
10,Back to us,2023-02-06,2023-10-23,9.99
11,Continue,2022-08-02,2022-09-30,9.99
12,Continue,2023-03-20,2024-01-13,19.99
13,Continue,2023-02-25,2023-05-01,9.99
14,Continue,2023-03-24,2023-04-28,29.99
15,New,2023-06-01,2023-10-26,29.99
16,New,2022-04-01,2022-11-22,19.99
17,New,2022-07-01,2023-01-12,29.99
18,Continue,2022-04-17,2022-06-16,9.99
19,Continue,2023-05-04,2023-09-07,19.99
20,Continue,2023-08-04,2023-10-25,9.99
21,Continue,2022-06-18,2022-10-03,29.99
22,Continue,2022-11-11,2023-04-08,9.99
23,Continue,2022-07-22,2023-01-05,19.99
24,Continue,2022-02-11,2022-04-25,9.99
25,New,2023-04-16,2023-06-26,29.99
26,Continue,2023-06-16,2024-02-08,19.99
27,New,2023-09-08,2023-10-29,29.99
28,Continue,2023-10-21,2023-12-11,9.99
29,Continue,2022-12-20,2023-09-22,19.99
30,Continue,2022-03-25,2022-08-09,19.99
31,Back to us,2023-01-25,2023-07-29,9.99
32,Continue,2023-04-11,2023-10-11,9.99
33,Continue,2022-11-26,2023-09-12,29.99
34,Continue,2022-07-09,2023-03-12,29.99
35,New,2022-03-13,2022-08-26,19.99
36,Continue,2022-05-21,2023-04-25,19.99
37,Continue,2022-06-16,2023-02-16,29.99
38,Continue,2022-10-02,2023-02-10,9.99
39,Continue,2022-03-13,2022-09-15,29.99
40,Continue,2022-05-23,2023-04-04,29.99
41,Back to us,2023-07-04,2024-03-15,9.99
42,Continue,2022-06-13,2023-05-16,29.99
43,Continue,2022-12-05,2023-08-24,9.99
44,New,2022-12-01,2023-03-08,19.99
45,Continue,2023-08-28,2023-11-05,9.99
46,Continue,2022-06-20,2023-02-17,29.99
47,Back to us,2023-08-05,2024-05-19,9.99
48,New,2022-08-17,2023-06-30,19.99
